countyfips,year,month,day,i305
26095,2015,1,15,1.412187673
26097,2015,1,15,0.938925845
26099,2015,1,15,2.94782721
27001,2015,1,15,
27101,2015,1,15,4.842042741
27103,2015,1,15,4.325758882
27105,2015,1,15,5.075868335
27107,2015,1,15,1.431842324
27109,2015,1,15,
27011,2015,1,15,3.219142867
27111,2015,1,15,1.893065236
27113,2015,1,15,1.071728156
27115,2015,1,15,
27117,2015,1,15,4.550930526
27119,2015,1,15,1.270585103
27121,2015,1,15,1.907483705
27123,2015,1,15,
27125,2015,1,15,1.169090171
27127,2015,1,15,2.996610369
27129,2015,1,15,2.735983327
27013,2015,1,15,4.567166473
27131,2015,1,15,
27133,2015,1,15,4.518963172
27135,2015,1,15,0.971561
27137,2015,1,15,
27139,2015,1,15,
27141,2015,1,15,
27143,2015,1,15,2.860369449
27145,2015,1,15,2.306308109
27147,2015,1,15,
27149,2015,1,15,2.336920476
27015,2015,1,15,3.325641812
27151,2015,1,15,2.288224108
27153,2015,1,15,1.693807252
27155,2015,1,15,3.162459762
27157,2015,1,15,
27159,2015,1,15,1.809901958
27161,2015,1,15,
27163,2015,1,15,
27165,2015,1,15,4.430999836
27167,2015,1,15,1.876133
27169,2015,1,15,
27017,2015,1,15,
